time,dena21,dena81,year
01/01/2016 00:00,0,0,2016
01/01/2016 01:00,0,0,2016
01/01/2016 02:00,0,0,2016
01/01/2016 03:00,0,0,2016
01/01/2016 04:00,0,0,2016
01/01/2016 05:00,0,0,2016
01/01/2016 06:00,0,0,2016
01/01/2016 07:00,0,0,2016
01/01/2016 08:00,0.001,0.018,2016
01/01/2016 09:00,0.01,0.047,2016
01/01/2016 10:00,0.025,0.075,2016
01/01/2016 11:00,0.037,0.085,2016
01/01/2016 12:00,0.038,0.073,2016
01/01/2016 13:00,0.031,0.044,2016
01/01/2016 14:00,0.006,0.007,2016
01/01/2016 15:00,0,0,2016
01/01/2016 16:00,0,0,2016
01/01/2016 17:00,0,0,2016
01/01/2016 18:00,0,0,2016
01/01/2016 19:00,0,0,2016
01/01/2016 20:00,0,0,2016
01/01/2016 21:00,0,0,2016
01/01/2016 22:00,0,0,2016
01/01/2016 23:00,0,0,2016
02/01/2016 00:00,0,0,2016
02/01/2016 01:00,0,0,2016
02/01/2016 02:00,0,0,2016
02/01/2016 03:00,0,0,2016
02/01/2016 04:00,0,0,2016
02/01/2016 05:00,0,0,2016
02/01/2016 06:00,0,0,2016
02/01/2016 07:00,0,0.002,2016
02/01/2016 08:00,0.015,0.045,2016
02/01/2016 09:00,0.049,0.103,2016
02/01/2016 10:00,0.082,0.157,2016
02/01/2016 11:00,0.094,0.179,2016
02/01/2016 12:00,0.082,0.152,2016
02/01/2016 13:00,0.05,0.091,2016
02/01/2016 14:00,0.011,0.018,2016
02/01/2016 15:00,0,0,2016
02/01/2016 16:00,0,0,2016
02/01/2016 17:00,0,0,2016
02/01/2016 18:00,0,0,2016
02/01/2016 19:00,0,0,2016
02/01/2016 20:00,0,0,2016
02/01/2016 21:00,0,0,2016
02/01/2016 22:00,0,0,2016
02/01/2016 23:00,0,0,2016
